ID,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,25Y
2012-10-23,0.016612,0.134768,0.334806,0.577988,0.837035,1.335748,1.925597,2.454455,2.623847,2.633479
2012-10-22,0.024214,0.147805,0.351053,0.595900,0.855580,1.353851,1.941683,2.468066,2.636760,2.646651
2012-10-19,0.011761,0.128629,0.330559,0.577163,0.840095,1.345682,1.940994,2.469232,2.633993,2.639216
2012-10-18,0.013100,0.128748,0.331636,0.580459,0.846230,1.357790,1.960250,2.494442,2.660966,2.666451
2012-10-17,0.003249,0.112582,0.313921,0.564065,0.832705,1.351414,1.962727,2.503084,2.669787,2.673631
2012-10-16,-0.006801,0.089909,0.281436,0.524063,0.787031,1.298459,1.904900,2.443109,2.608892,2.611450
2012-10-15,-0.017571,0.062117,0.241489,0.475485,0.732353,1.236409,1.837783,2.372181,2.535063,2.534858
2012-10-12,-0.021986,0.061146,0.243882,0.480873,0.740223,1.247619,1.850743,2.383967,2.544804,2.543126
2012-10-11,-0.012874,0.074707,0.261223,0.501360,0.763281,1.274365,1.880473,2.415431,2.576827,2.575587
2012-10-10,-0.020806,0.063913,0.250640,0.492629,0.757092,1.273220,1.883956,2.419597,2.578340,2.574253
2012-10-09,-0.016454,0.075929,0.267572,0.512570,0.778754,1.296116,1.906603,2.441604,2.600665,2.597394
2012-10-08,-0.022789,0.071690,0.265617,0.512760,0.780770,1.300609,1.912273,2.445923,2.602930,2.598107
2012-10-05,-0.005369,0.087854,0.281756,0.529624,0.798768,1.321246,1.936309,2.473027,2.631132,2.626654
2012-10-04,-0.011213,0.079057,0.266732,0.507849,0.771196,1.286916,1.901918,2.445195,2.601455,2.585076
2012-10-03,-0.016101,0.077405,0.264109,0.502192,0.761831,1.271067,1.882049,2.429754,2.594225,2.584896
2012-10-02,-0.013017,0.084532,0.273910,0.513659,0.774235,1.283986,1.894235,2.440287,2.603847,2.594221
2012-10-01,-0.007240,0.089318,0.278501,0.518362,0.779064,1.288572,1.896944,2.437992,2.596914,2.583848
2012-09-28,-0.013760,0.071264,0.253932,0.490507,0.749888,1.259483,1.869088,2.408990,2.564205,2.547080
2012-09-27,-0.009924,0.079720,0.266066,0.505389,0.766670,1.277999,1.886937,2.422896,2.574574,2.555141
2012-09-26,-0.014318,0.084065,0.274778,0.515914,0.777672,1.288744,1.898470,2.440301,2.599203,2.585828
2012-09-25,-0.006425,0.097544,0.297903,0.549719,0.821436,1.347366,1.966698,2.509132,2.669335,2.663563
2012-09-24,-0.011640,0.098493,0.303229,0.558156,0.832095,1.360827,1.982416,2.527158,2.689280,2.685223
2012-09-21,-0.011566,0.098791,0.305196,0.562375,0.838616,1.371040,1.995033,2.538492,2.697652,2.691118
2012-09-20,-0.015370,0.098298,0.306097,0.563383,0.838911,1.368736,1.988472,2.527305,2.684568,2.677518
2012-09-19,-0.004205,0.107407,0.314322,0.571401,0.847071,1.377475,1.997703,2.536007,2.692249,2.684373
2012-09-18,0.000368,0.112110,0.319191,0.576260,0.851658,1.380727,1.997688,2.530193,2.682138,2.671514
2012-09-17,0.006878,0.130596,0.345353,0.607246,0.885628,1.417714,2.036652,2.572029,2.727095,2.719235
2012-09-14,0.018975,0.128547,0.337481,0.598230,0.877829,1.414452,2.038964,2.580300,2.743908,2.748660
2012-09-13,-0.011198,0.083530,0.279143,0.528405,0.798428,1.321198,1.934928,2.471491,2.634985,2.639840
2012-09-12,-0.016034,0.098072,0.308529,0.569070,0.847587,1.381403,2.003034,2.543983,2.709337,2.715854
2012-09-11,-0.007985,0.083029,0.278928,0.530446,0.803402,1.331389,1.948360,2.481630,2.639176,2.639147
2012-09-10,-0.013733,0.086727,0.289186,0.545148,0.821022,1.351945,1.969880,2.502752,2.660258,2.660699
2012-09-07,-0.018763,0.075317,0.274003,0.527717,0.802166,1.331148,1.946199,2.473414,2.625815,2.622372
2012-09-06,-0.026273,0.066712,0.267798,0.525337,0.803777,1.338843,1.956551,2.478106,2.622562,2.612891
2012-09-05,-0.060531,0.014179,0.216348,0.481034,0.765751,1.301379,1.895132,2.373581,2.512077,2.527138
2012-09-04,-0.047768,0.022495,0.218653,0.477529,0.757422,1.286839,1.876783,2.350289,2.479049,2.481375
2012-09-03,-0.042637,0.022989,0.213092,0.465630,0.739567,1.259347,1.840744,2.309500,2.437663,2.440159
2012-08-31,-0.053217,0.014845,0.208877,0.465226,0.742128,1.264801,1.845592,2.312165,2.443004,2.451739
2012-08-30,-0.063039,0.008149,0.202501,0.457647,0.732653,1.251278,1.827837,2.292284,2.423657,2.433463
2012-08-29,-0.042575,0.030256,0.225739,0.481481,0.756607,1.274427,1.848531,2.308958,2.437788,2.446215
2012-08-28,-0.043846,0.020226,0.207001,0.455088,0.724037,1.234015,1.804640,2.268047,2.400772,2.411549
2012-08-27,-0.060219,0.011955,0.203546,0.454258,0.724427,1.234637,1.803951,2.265971,2.398783,2.410245
2012-08-24,-0.076339,0.005054,0.197805,0.446067,0.712732,1.217317,1.784725,2.250718,2.384822,2.393344
2012-08-23,-0.052563,0.017017,0.212848,0.469952,0.746179,1.263913,1.833782,2.288007,2.417709,2.431770
2012-08-22,-0.051905,0.032072,0.242179,0.511368,0.796753,1.324542,1.896358,2.345259,2.473801,2.491155
2012-08-21,-0.059951,0.029819,0.250104,0.530069,0.824986,1.366101,1.946768,2.401465,2.537908,2.565539
2012-08-20,-0.051905,0.021081,0.231313,0.505554,0.797440,1.336588,1.917419,2.371917,2.506838,2.532712
2012-08-17,-0.058357,0.016027,0.228545,0.505103,0.798918,1.340301,1.921254,2.372801,2.504951,2.529028
2012-08-16,-0.067293,0.007947,0.221302,0.498259,0.791994,1.332351,1.911968,2.366042,2.505202,2.537411
2012-08-15,-0.055557,0.018281,0.228535,0.502420,0.793908,1.332913,1.916110,2.379752,2.525884,2.562114
2012-08-14,-0.059206,0.004977,0.200655,0.460858,0.742056,1.271977,1.859843,2.337367,2.483683,2.510188
2012-08-13,-0.071257,-0.012151,0.184184,0.447515,0.732414,1.268039,1.857858,2.329140,2.467861,2.488742
