ID,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,25Y
2016-10-10,-0.729208,-0.695119,-0.645264,-0.572098,-0.480239,-0.270994,0.025676,0.370378,0.569775,0.691576
2016-10-07,-0.738399,-0.706230,-0.662166,-0.595803,-0.510458,-0.311738,-0.024855,0.312227,0.508161,0.628015
2016-10-06,-0.733308,-0.702795,-0.658283,-0.591434,-0.506214,-0.309564,-0.027722,0.302216,0.493842,0.611088
2016-10-05,-0.729010,-0.709041,-0.674504,-0.614345,-0.532861,-0.338927,-0.058967,0.265206,0.451228,0.564567
2016-10-04,-0.725381,-0.717188,-0.693943,-0.643006,-0.568666,-0.384579,-0.113679,0.201337,0.381915,0.491885
2016-10-03,-0.724549,-0.715386,-0.693807,-0.646012,-0.575432,-0.398762,-0.136243,0.171267,0.348228,0.456130
2016-09-30,-0.721537,-0.719548,-0.703491,-0.660189,-0.593159,-0.420869,-0.159845,0.150307,0.330171,0.440071
2016-09-29,-0.725806,-0.720107,-0.698387,-0.649845,-0.578777,-0.402051,-0.139946,0.167988,0.345811,0.454378
2016-09-28,-0.721235,-0.725605,-0.711746,-0.668628,-0.600923,-0.426776,-0.163847,0.147361,0.327449,0.437423
2016-09-27,-0.707560,-0.720426,-0.714258,-0.674676,-0.607109,-0.428980,-0.161438,0.148398,0.324587,0.431595
2016-09-26,-0.684398,-0.695547,-0.685762,-0.642770,-0.572775,-0.392933,-0.127525,0.176505,0.348574,0.452982
2016-09-23,-0.675716,-0.687067,-0.674564,-0.627932,-0.554448,-0.369602,-0.101339,0.202359,0.373266,0.476831
2016-09-22,-0.661425,-0.682187,-0.674965,-0.630223,-0.556471,-0.368407,-0.095147,0.212761,0.385351,0.489803
2016-09-21,-0.653556,-0.668055,-0.650232,-0.595008,-0.512228,-0.310685,-0.024835,0.294582,0.473382,0.581558
2016-09-20,-0.646907,-0.669314,-0.657992,-0.607039,-0.526585,-0.326043,-0.038329,0.284320,0.464969,0.574236
2016-09-19,-0.644103,-0.660846,-0.647252,-0.594568,-0.511756,-0.303963,-0.002503,0.339246,0.531649,0.648099
2016-09-16,-0.648067,-0.664382,-0.649516,-0.596062,-0.513154,-0.306415,-0.007116,0.332500,0.523977,0.639932
2016-09-15,-0.643793,-0.656304,-0.635171,-0.575306,-0.486947,-0.273233,0.029133,0.366944,0.556024,0.670339
2016-09-14,-0.643978,-0.658923,-0.641496,-0.585711,-0.501389,-0.294963,-0.001012,0.328196,0.512582,0.624104
2016-09-13,-0.633513,-0.642434,-0.622914,-0.567955,-0.486196,-0.286710,-0.002000,0.318318,0.498314,0.607305
2016-09-12,-0.629390,-0.643109,-0.625966,-0.571529,-0.489298,-0.288226,-0.002565,0.316450,0.494843,0.602726
2016-09-09,-0.637464,-0.650578,-0.636363,-0.586280,-0.508190,-0.311911,-0.025022,0.303458,0.489654,0.602610
